#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
brutalization	-0.8
brutalizing	-0.9
brutally	-0.9
brute	-0.4
brutish	-0.6
bs	-1
bucktooth	-0.3
buck-toothed	-0.3
buffoonish	-0.5
bug	-0.7
bugaboo	-0.4
bugger	-0.8
bugginess	-0.4
bugging	-0.6
bugs	-0.4
buh	-0.3
bulbous	-0.3
bulimia	-0.5
bulimic	-0.5
bulkier	-0.3
bulkiness	-0.3
bulky	-0.3
bulkyness	-0.4
bull----	-0.9
bullet	-0.6
bullheaded	-0.5
bullied	-0.7
bullies	-0.5
bullshit	-1
bullshyt	-0.9
bully	-0.4
bullying	-0.5
bullyingly	-0.7
bum	-0.9
bumblefuck	-1
bumbling	-0.3
bummed	-0.8
bummer	-0.8
bump	-0.4
bumped	-0.5
bumpiness	-0.2
bumping	-0.3
bumpping	-0.5
bumps	-0.6
bumpy	-0.3
bunco	-0.4
bungle	-0.4
bungled	-0.4
bungler	-0.4
bungling	-0.4
bunt	-0.1
bunter	-0.1
burden	-0.5
burdened	-0.6
burdening	-0.5
burdenless	-0.1
burdens	-0.5
burdensome	-0.4
burdensomely	-0.7
bureaucracy	-0.3
bureaucrat	-0.2
burglar	-0.4
burglarious	-0.5
burglary	-0.7
burial	-0.6
buried	-0.9
burk	-0.5
burke	-0.5
burn	-0.2
burnable	-0.3
burned	-0.5
burning	-0.5
burns	-0.2
burnside	-0.2
burnt	-0.4
burr	-0.4
bury	-0.9
bust	-0.2
busted	-0.6
buster	-0.3
busy	-0.3
busybody	-0.4
butadiene	-0.2
butch	-0.2
butcher	-0.1
butchery	-0.5
butt	-0.1
butthurt	-1
buzzed	-0.2
buzzing	-0.4
buzzkill	-0.8
byebye	-0.6
byee	-0.3
byeee	-0.6
bygone	-0.2
bypass	-0.1
cabal	-0.3
cabalistic	-0.5
cabbageworm	-0.1
caber	-0.1
cacodemon	-0.8
cacodemonic	-0.8
cacophony	-0.4
cad	-0.4
cadaver	-0.4
cadaverine	-0.4
cadaverous	-0.7
caddish	-0.5
cadmium	-0.2
cafeteria-style	-0.4
cafeteria-type	-0.3
cage	-0.5
caitiff	-0.6
cajanus	-0.1
calamities	-0.3
